Transaction_ID,User_ID,Product_ID,Quantity,Transaction_Date
abd3327d-c321-4d8b-ab24-5d43c0b8b54b,7bcd5dc1-ce4b-43cd-b06d-3f2309fa4b92,4bd89363-4272-4c90-86b0-e4aec0645fae,2,2024-05-23
3f293d73-8e2e-4a36-8350-7e43bf30d4ea,f475dafe-fd20-416b-8ccf-695d9a4ee8c7,deb51472-996a-42b1-96e5-6a72ba78e2ab,1,2024-04-05
6633ae86-ea30-499c-b35d-72799b47ba1a,587359d4-f971-4ef3-a2d0-c22546f54985,7e18ca93-a3b9-462e-bbbc-14ed5d533b3e,2,2024-01-11
f4666110-40cb-4a4d-b69e-e64ee7961ece,841a2055-daf6-4d1c-9ec6-5f45a1dabf88,1332c032-a285-4997-b8f7-66ea41f5e4ba,2,2024-06-06
3dd2fe89-346f-4fff-8880-aaf491bca55c,67e3f5b2-793b-4c52-b62b-eefe6acb24a2,c3170728-95ef-422f-8e5c-7f7b2479fdaa,4,2024-05-11
ae6671da-4bc8-43ac-81d1-ad5bbce5ed40,2927e5af-1e2b-4434-8cc5-2657835814bb,7e18ca93-a3b9-462e-bbbc-14ed5d533b3e,5,2024-07-22
6f10387c-244f-4095-b2b8-4ed89469ecd0,dad4fe4a-5931-456a-9c62-33ddafeb0522,46cd6a49-3e36-4b01-ac1a-6a33d63c7ed9,3,2024-07-25
e89c143a-c52b-45cd-a9fa-959f936572a2,3e531b6f-12b9-47fc-be11-49b10275bbd1,d2727197-c8d4-48d9-9ecc-04f4c307a900,1,2024-05-31
0cf59ec4-13a0-4893-bf54-ff05a44d3bb2,1a64663b-e5cd-421c-9913-bfd58dde9ac6,b14c7039-87b4-4b3d-bf95-2cd040d690b2,3,2024-08-09
e9781b56-27ab-44d4-95ce-5464bc9c1408,32df5bcb-da67-4a7c-b6e0-57504c104c12,deb51472-996a-42b1-96e5-6a72ba78e2ab,1,2024-07-09
405f4302-b25f-45e5-a40b-92c835148f78,b3e38c97-fb33-4ef4-aab5-bd2741615dc0,63e8bbbb-5ad7-4d1d-b1c2-001a07b664f5,3,2024-01-21
