Product_ID,Product_Name,Category,Price
00e529d1-96fe-4b9b-b7a2-d52c7dc519d4,near,interesting,65.75
01dc60ef-7f44-41bd-b97d-3197c53631b5,brother,current,7.38
b14c7039-87b4-4b3d-bf95-2cd040d690b2,measure,price,31.13
99c9e979-6fdf-4dd7-8df7-4342b36d1a89,deal,spend,26.21
1a0419fa-6e90-4b16-8db5-069c2b752261,school,agreement,74.96
43c60d20-7121-46a6-b548-f7be1780dcd8,seek,various,69.29
4a5140fa-0fc2-417a-ba2b-8a29076b4772,time,move,89.76
805c053f-4536-4742-9e05-9acf6f191c40,admit,body,13.26
04324795-cd89-44b0-84c1-83561e5df529,color,practice,45.08
684a7ae3-274a-46f3-8ccd-185800498136,we,should,7.83
9e940818-e66b-4d16-be56-4e9cf23021cc,should,ground,25.77
1b0b586b-894c-4ec9-9058-c9fcaeb43a25,federal,unit,53.01
32168aa7-19e9-43c6-985e-1ae1aed0047e,job,air,7.52
9e516857-5020-45be-8677-597770444957,central,tonight,23.89
6a461f4a-1181-42ed-a3d2-93e2aecdb709,they,now,66.74
a1fb103f-9a36-4626-851e-da5f53e42e6f,people,article,56.77
508ea1d5-daf0-4572-90bc-48f9931eca53,experience,manager,25.94
deb51472-996a-42b1-96e5-6a72ba78e2ab,sea,note,60.98
f5f3f75b-138c-4171-8874-5ff40049cf17,campaign,else,81.9
10403f77-8bc1-497e-bba5-3c427329fe8c,present,station,5.62
cca4542c-b127-4afc-aa37-7756b9d6e2a1,poor,seek,81.55
e1334fd0-d721-4bba-a614-8bc100368c91,early,maybe,71.32
4bd89363-4272-4c90-86b0-e4aec0645fae,know,marriage,37.32
164df126-5139-4749-b7d9-80db97aab362,thus,cultural,19.77
7adf5937-657c-43c1-916f-5f52da717fac,guess,approach,95.94
66578397-7334-4d70-a8ae-40938eb76a1a,building,term,36.98
bd381ce1-0671-4d5b-a878-de28c508dffa,pressure,serve,13.81
8cfee8d2-32b9-4c82-8b9c-8819bc0b252c,nature,reality,14.19
4a883726-42ea-4c3f-bd57-db91378859bc,soldier,not,85.51
c3170728-95ef-422f-8e5c-7f7b2479fdaa,strategy,keep,62.35
cbed1241-eb4f-43e9-8d12-e3d9c7508bb2,believe,lose,81.68
0551ef25-0bd4-4d9c-ad14-2d3a48d42e20,field,career,74.32
e759d593-0d6a-4264-9dd2-adfbb8939038,this,face,55.94
af0e08fe-4b55-4ec0-9d66-43a588c97d5b,similar,pull,97.45
c487dc5c-fcd3-49fc-b7d9-c8d811d692f5,side,art,40.96
1f3c80e6-fef1-49fe-9835-d7580973e77a,decade,stand,57.44
63e8bbbb-5ad7-4d1d-b1c2-001a07b664f5,recognize,sport,83.79
a09b54cd-0abf-4d6a-9ef6-fc8c4c9f47ea,worry,student,63.76
c022d128-6319-4b1f-be70-eaebf527ff42,building,family,86.86
9b5b30a0-514e-41e5-aca7-201c742d7ad6,say,down,59.85
7e18ca93-a3b9-462e-bbbc-14ed5d533b3e,population,even,71.93
d6145ef1-8d21-40c6-8bcf-2010f160fc0d,usually,health,9.35
76cd3754-36f8-4e9e-bea4-063574cf6886,environment,add,26.65
46cd6a49-3e36-4b01-ac1a-6a33d63c7ed9,home,build,32.49
5dc59d01-0aa1-4061-929b-0d4c4342d5e7,knowledge,church,12.58
af301a41-4768-433f-a81b-9738fa59a5f2,others,although,27.12
1332c032-a285-4997-b8f7-66ea41f5e4ba,apply,baby,14.6
7d496f22-33e6-4285-9be2-321e8b0561b3,contain,boy,31.41
89658e79-a140-4889-86d9-6a012ac19212,personal,phone,65.39
d2727197-c8d4-48d9-9ecc-04f4c307a900,box,military,39.66
